Date,predict
1,0.2218017578125
2,0.8393707275390625
3,-1.1343154907226562
4,0.1367950439453125
5,-0.642242431640625
6,1.3240737915039062
7,-0.027622222900390625
8,0.112640380859375
9,0.7229804992675781
10,-0.8174362182617188
11,-0.5605049133300781
12,-0.307830810546875
13,0.4435462951660156
14,0.7309761047363281
15,0.7018280029296875
16,1.1030120849609375
17,1.6409645080566406
18,-1.1391983032226562
19,-0.08553314208984375
20,-0.17020034790039062
21,0.056980133056640625
22,0.5314254760742188
23,0.481201171875
24,0.9838485717773438
25,0.46210479736328125
26,0.5944290161132812
27,-1.0100173950195312
28,0.8154716491699219
29,0.2651519775390625
30,0.38616180419921875
